date,title,link,content
None,None,https://sports.news.naver.com/news.nhn?oid=018&aid=0005514042,[]
None,None,https://sports.news.naver.com/news.nhn?oid=468&aid=0000953990,[]
None,None,https://sports.news.naver.com/news.nhn?oid=025&aid=0003288621,[]
None,None,https://sports.news.naver.com/news.nhn?oid=001&aid=0014012883,[]
None,None,https://sports.news.naver.com/news.nhn?oid=001&aid=0014012922,[]
None,None,https://n.news.naver.com/mnews/article/421/0006851639?sid=101,[]
None,None,https://sports.news.naver.com/news.nhn?oid=081&aid=0003370691,[]
2023-06-27 19:25:01,"인천시의회, WHO 글로벌 바이오캠퍼스 송도 유치 총력 지원…이강구 시의원 대표",https://n.news.naver.com/mnews/article/666/0000014789?sid=100,"[
 



    인천시의회가 27일 본회의장에서 글로벌바이오캠퍼스 유치를 촉구하는 결의 대회를 하고 있다. 인천시의회 제공      인천시의회가 세계적인 바이오 인력 양성의 메카로 거듭나기 위한 세계보건기구(WHO) 글로벌 바이오 캠퍼스 인천 유치에 발 벗고 나섰다.   27일 시의회에 따르면 이날 본회의를 마친 뒤 이강구 시의원(국민의힘·연수5)와 박창호 시의원(국민의힘·비례)이 대표로 송도 글로벌 바이오 캠퍼스 유치의 필요성을 설명했다.    이 시의원은 “인천은 세계 최고의 국제공항과 항만·우수한 광역교통망을 가지고 있어 글로벌 바이오 캠퍼스가 들어설 최적지”라고 했다. 이어 이 시의원은 “인천 송도는 ‘K-바이오 랩허브’와 ‘한국형 나이버트(K-NIBRT)’ 사업지로 잇따라 선정되면서 국내 바이오산업 최첨단 지역으로 주목받고 있다”고 덧붙였다.   현재 송도에는 삼성바이로로직스㈜와 ㈜셀트리온 등 세계적인 수준의 바이오 대기업이 포진해 있다. 이어 최근에는 SK바이오사이언스㈜가 연구소 확장을 약속하기도 했다. 이로 인해 송도는 1개 도시 기준 세계 최대인 88만ℓ의 바이오의약품 생산 능력을 가지고 있다.   박 시의원은 “인천은 바이오 산업의 육성을 위해 차별화한 강점을 가지고 있다”며 “반드시 인천이 유치할 수 있도록 해야 한다”라고 했다. 이어 “막강한 대기업을 가지고 있는 인천의 경쟁력으로 인천 유치가 이뤄질 수 있도록 적극 지원하겠다”고 했다.   한편, 보건복지부는 이달 말 인천 송도와 경기 시흥을 찾아 현장 실사를 바탕으로 1개의 도시를 결정할 예정이다.
]"
2023-06-27 18:58:23,자회사 팔고 파이프라인 줄이고…가능성에 집중하는 K바이오,https://n.news.naver.com/mnews/article/215/0001110051?sid=101,"[
			&lt;앵커&gt;국내 제약·바이오 기업들이 '선택과 집중'에 나서고 있습니다.의약품 판매 권리를 회수하고, 알짜 자회사를 매각하는 것은 물론 개발중인 여러 신약 가운데 가능성이 높은 신약에 집중하고 있습니다.박승원 기자의 보도입니다.&lt;기자&gt;금리 인상기에 경기 둔화, 투자심리 악화에 따른 자금 조달의 어려움까지.대내외 여건이 녹록치 않으면서 국내 제약·바이오 기업들이 꺼내든 카드는 '선택과 집중'입니다.이 가운데 최근 업계에서 화두가 된 곳은 국내 바이오 쌍두마차 중 하나인 셀트리온입니다.3년 전 인수한 일본 다케다제약의 아시아 태평양 지역 판권의 매각설이 나온 겁니다.바이오시밀러 시장의 급성장에 의약품 중심의 다케다제약의 판권 경쟁력이 떨어지면서 본격적인 사업 재정비에 나섰다는 게 업계의 시각입니다.기업공개(IPO)가 쉽지 않은 상황에서 매각을 통해 현금 자산 확보에 나서는가 하면, 경영 효율성을 높이기 위해 해외법인 청산에 돌입하는 사례도 나오고 있습니다.이 가운데 보령의 경우 지난해 기업공개(IPO)가 무산된 보령바이오파마를 매각하는 방향으로 전략을 수정했습니다.3세 경영의 지배력 강화와 함께 우주 신사업에 집중한다는 전략으로 풀이됩니다.일양약품은 중국 현지법인을 경영 효율성 목적으로 청산에 나섰습니다.매출의 핵심 기지였지만, 현지 파트너사와의 갈등이 불거지면서 법적 대응까지 준비중인 것으로 전해졌습니다.중요도가 낮은 신약 개발을 중단하는 기업들도 속출하고 있습니다.올해 들어 종근당이 대장암 신약(CKD-516) 개발을, GC녹십자는 만성B형간염치료제(GC1102B) 개발을 중단했습니다.LG화학은 지난 2019년 스웨덴 제약사로부터 기술 이전받은 비알코올성지방간염(NASH) 치료제 후보물질을 반환했습니다.자금 조달이 어려워진 상황에서 버릴 건 과감히 버리고 키울 건 확실히 키우겠다는 움직임이 업계 전반에 번지고 있는 겁니다.[제약·바이오 업계 관계자 : 최근 자본에 대한 유동성 때문에 국내 기업뿐 아니라 글로벌 특히 자금력이 떨어지는 기업 중심으로 이제는 자금력 쪽으로 선택과 집중을 할 수 밖에 없는 그런 측면에서 고려하는…]올해 생존이 최대 화두가 된 국내 제약·바이오 업계에서 가능성에 집중하는 기업들이 어떤 성과를 낼지 주목됩니다.한국경제TV 박승원입니다.편집 : 강다림, CG : 심유민




]"
2023-06-27 18:25:03,"충북도, 바이오 소부장 특화단지 유치 촉각…청신호?적신호?",https://n.news.naver.com/mnews/article/079/0003784868?sid=102,"[
'K-바이오 스퀘어' 육성 각종 공모 청신호 기대WHO 글로벌 바이오 캠퍼스 유치 실패바이오 소부장 특화단지 공모 결과 장담 못해""대기업 몰려 있는 수도권과 경쟁 불가피""



충북도 제공충청북도가 최근 세계보건기구(WHO) 글로벌 바이오 캠퍼스 유치에 실패하면서 '바이오 소재.부품.장부(소부장) 특화단지 추가 지정 공모에 촉각을 곤두세우고 있다.정부가 청주 오송을 'K-바이오 스퀘어'로 육성하겠다는 방침에도 불구하고 결과를 자신하지 못하고 있다.27일 충청북도 등에 따르면 지난 2일 정부가 충북 청주 오송을 세계 최고 수준의 클러스터인 'K-바이오 스퀘어'로 집중 육성하겠다고 발표했다.이에 따라 전국적으로 유치 경쟁이 벌어진 각종 바이오 관련 정부 공모 사업에도 청신호가 켜진 것으로 기대를 모았다.하지만 최근 전국 5곳이 경합을 벌였던 'WHO 글로벌 바이오 캠퍼스' 유치전에서 청주 오송은 끝내 고배를 마셨다.보건의료 6대 국책기관과 6대 국가메디컬센터 등 국내 최고의 바이오 R&amp;D 인프라에도 불구하고 교통과 주거, 문화 등의 각종 생활 인프라를 갖춘 수도권의 벽을 넘지 못했다.사정이 이렇자 충북도가 현재 공모에 참여한 '바이오 소부장 특화단지' 추가 지정 결과에도 관심이 모아지고 있다.이 사업은 첨단 바이오.의약품을 만들기 위한 소부장의 안정적인 공급망을 조성하기 위해 산업통상자원부가 추진하고 있다.충북은 현재 대웅제약, GC녹십자 등 수요기업 6곳과 마이크로디지탈, 종근당바이오 등 공급기업 7곳, 한국생명공학연구원과 베스티안병원 등 모두 20여곳과 협력체계를 구축해 유치에 공을 들이고 있다.다만 국내외 바이오 대기업들이 대거 몰려 있는 수도권과 다시 한번 경쟁이 불가피해 유치를 장담할 수 없는 상황이다.충북도 관계자는 ""경기도권에는 이미 바이오 대기업들이 집적화돼 있어 신경이 쓰이는 것은 사실""이라며 ""다만 대형 엥커기업은 부족하더라도 산학연병의 생태계가 구축돼 있는 오송이 소부장 특화단지의 최적지라고 정부에 어필하고 있다""고 말했다.산업부는 관계 부처 협의와 소부장 경쟁력위원회 심의.의결을 거쳐 다음 달 중순경 선정지역을 최종 발표할 예정이다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn
]"
