단어,개수
[서울=뉴시스],5
신항섭,2
기자,14
=,16
셀바스AI는,21
운영자금,3
및,80
채무상환자금,1
조달을,1
위해,15
400만주를,1
발행하는,1
주주배정,1
후,7
실권주,1
일반공모,1
유상증자를,1
결정했다고,6
7일,3
공시했다.청약일은,1
오는,9
6월7일부터,1
8일까지이며,1
예정발행가는,1
주당,3
1만9710원이다.,1
완성도,1
높은,6
음성인식,13
기술,24
보유,3
정부·대기업에서,1
러브콜,1
잇달아최근,1
GPT와,1
접목…신산업,1
진출셀바스AI는,1
1999년,2
설립된,4
국내,33
1호,4
인공지능(AI),25
코스닥,5
상장기업이다.,1
20년,2
넘게,1
HCI(Human,2
Computer,2
Interaction),1
분야,4
연구개발에,2
집중해,1
작년,1
매출,6
500억원을,1
돌파했다.,1
HCI란,1
사람의,8
언어를,2
컴퓨터가,1
그대로,2
재현해내는,1
기술을,48
말한다.,1
"음성,",1
"영상,",3
필기,1
등을,24
인식해,2
텍스트를,1
음성으로,1
바꾸거나,1
음성을,7
텍스트로,5
바꾸는,2
기능을,3
한다.,6
곽민철,5
셀바스AI,19
대표는,32
"""국내",3
최고,9
수준의,10
음성,11
인식률을,1
기록하고,3
"있다""고",4
자신한다.,1
코로나,2
사태,1
이후에,1
디지털·무인화,1
속도가,2
빨라지면서,1
대기업과,1
"금융기관,",1
정부,4
공공기관까지,1
두루,1
찾는,1
파트너사가,1
됐다.,5
지난해,9
연결기준,2
매출액은,4
503억원으로,2
역대,3
최대를,1
찍었다.,1
2021년,6
매출은,2
"485억원,",1
2020년에는,1
"348억원이었다.◆교육부,",1
특허청과,1
협업,2
대화,4
내용을,2
자동으로,3
기록하는,1
'셀비노트'는,1
셀바스AI의,15
대표적인,1
솔루션이다.,1
셀비노트는,1
전국,4
17개,1
시도,1
경찰청뿐만,1
아니라,10
지자체의,1
아동학대,1
현장,2
조사용으로,1
사용되고,1
있다.,51
수사,1
과정에서,1
진술을,1
변환해,3
기록·저장하고,1
데이터베이스화,1
할,4
수,71
최근에는,3
특허청에,1
셀비노트를,2
공급해,1
특별사법경찰관이,1
지식재산권에,1
대한,24
