단어,개수
셀바스AI의,11
자회사,1
셀바스헬스케어가,2
AI(인공지능),5
기반,17
심장진단,2
영상,8
혁신기업,1
울트라사이트(UltraSight),1
지분을,6
취득한다.,1
셀바스헬스케어는,2
12일,4
공시를,1
통해,77
울트라사이트,2
지분,4
42만4000주를,1
취득한다고,1
밝혔다.,19
미국,17
FDA(식품의약국),1
승인을,2
앞두고,3
있는,74
취득을,1
'AI,3
원격의료,11
사업'을,1
본격화한다는,1
전략이다.,1
울트라사이트의,3
AI,129
심장,8
초음파,10
솔루션은,2
지난,22
해,4
유럽에서,1
"CE마크,",1
영국에서,1
UKCA,1
마크를,1
"획득했으며,",1
현재,13
FDA,2
승인,1
절차가,1
진행,14
중이다.,13
특히,18
2월,6
글로벌,37
기업인,4
GE헬스케어가,1
캡션,1
헬스(Caption,1
Health)를,1
인수하면서,1
시장에,8
대한,45
관심이,2
세계적으로,6
높아지고,3
있다.,88
초음파'는,1
휴대용,1
장치와,1
영상지능,1
기술을,30
"접목시켜,",1
진단,5
가이드를,1
제공한다.,5
응급,2
현장,8
검사는,1
의료,9
전문가는,1
물론,7
검사,1
숙련도가,1
낮은,2
의료진이,2
"진료실,",1
지역,8
"병원,",1
"검진센터,",1
외곽,1
등,96
환자를,2
치료하는,7
모든,6
장소에서,1
측정이,1
가능하다.,9
유병탁,2
셀바스헬스케어,2
대표는,32
"""기존",3
디지털헬스케어,2
사업에,4
이어,18
시장으로,3
신규,15
사업을,16
확대,11
"중""이라며",3
"""모기업",1
인공지능,33
기술과,8
앞둔,1
기술,23
및,83
서비스,38
융합을,3
본격화,1
할,19
"예정이다""라고",4
말했다.,27
한편,5
기존,12
디지털,51
헬스케어,16
시장,17
의료진단,1
시장으로신규,1
셀바스헬스케어의,1
하드웨어(HW),1
제조,1
역량에,1
모기업,2
소프트웨어(SW),2
기술력,1
IT,13
서비스와의,3
결합을,2
추진한다.,2
여기에,5
울트라사이트가,2
보유한,7
가이던스,2
속도감,2
있게,13
추진한다는,3
계획이다,1
[이데일리,20
이용성,1
기자],24
전문기업,33
셀바스AI(108860)가,2
자사의,4
음성인식,38
솔루션이,2
소방서,1
119,5
신고,9
접수에도,1
적용됐다고,1
(사진=셀바스AI)셀바스AI는,1
대전소방본부의,3
‘지능형,2
신고접수,3
플랫폼’에,1
솔루션(Selvy,3
STT)을,3
공급해,3
"상용화했으며,",2
콜백,5
등을,18
추가로,6
개발하겠다고,1
전했다.,7
회사가,4
공급한,1
119신고접수,3
플랫폼’은,1
119종합상황실로,3
들어오는,3
접수,4
음성을,6
텍스트로,6
변환하는,3
음성지능,15
대화형,11
서비스이다.,2
AI가,19
빠른,7
접수와,3
출동,6
재난,10
접수를,3
"도와준다.또한,",1
상황이,4
발생하고,6
상황실에,3
신고가,3
접수되면,3
신고자와,5
접수자,3
간,7
대화의,3
녹취,3
음원을,3
변환하고,1
음성인식의,4
인식,3
결과를,9
바탕으로,9
접수자를,3
위한,46
상황별,3
질문을,7
추천해,2
소방,3
출동대,3
"자동편성,",3
접수요원,3
소방관에게,3
알맞은,3
표준작전절차(SOP),2
제공으로,4
신속,3
정확하고,5
효과적인,5
초동,3
대처를,3
도울,2
수,127
있다는,8
것이,4
회사,14
측,6
설명이다.,2
측은,9
“119,1
접수의,2
경우,15
긴박한,2
특성상,3
통화에,2
잡음이,2
많고,2
긴장한,2
대화가,8
이뤄져,2
신고내용과,2
상황을,7
정확히,2
파악하기,2
어려웠다”며,1
“이에,1
셀바스AI,11
연구진들은,2
119신고,3
빅데이터를,3
분석해,8
발생,6
시,7
신속ㆍ정확하며,2
초동대처를,2
연구개발에,2
주력한,2
결과,2
높은,10
음성,10
인식률을,6
확보했다”고,1
언급했다.,2
윤재선,2
사업대표는,8
“금융권,1
"AI컨택센터,",2
"로봇,",4
메타버스,10
뿐,4
아니라,12
"경찰서,",2
"소방서,",2
기타,5
공공기관,3
다양한,42
분야에,4
서비스가,9
공급,13
중”이라며,3
“대화형,1
서비스뿐,2
긴급,2
신고를,2
선별해,2
빠르게,12
대응,5
가능한,12
등도,2
준비,2
중이다”라고,1
밝혔다.유민상,1
대전소방본부,2
소방정보통신,2
조정관(소방경)은,2
