단어,개수
셀바스AI가,11
571억,1
규모의,9
유상증자에,2
성공했다.셀바스AI는,1
지난,16
21일부터,6
22일가지,1
기존,7
주주들을,1
대상으로,25
진행한,4
유상증자,13
청약률이,2
100.8%를,2
기록했다고,1
23일,6
밝혔다.발행,1
예정,7
주식수는,4
400만주로,2
총,6
571억원,4
규모이다.,1
이에,14
따라,29
26일부터,2
27일까지,2
진행,7
예정이었던,3
일반공모는,3
실시되지,1
않는다.,4
신주,3
상장,7
예정일은,5
7월,10
12일이다.셀바스AI는,2
이번,24
유상증자가,1
4월,5
발표한,1
"AI(인공지능)의료,",1
"교육,",4
"메타로빌리티(메타버스,",4
"로봇,",5
모빌리티),3
등,115
신사업,5
확대를,18
위해서라고,1
설명했다.,10
셀바스AI는,17
각,23
분야별,4
디지털,46
전환은,4
물론,9
경영,5
혁신을,6
지원한다는,1
계획이다.세부적으로,1
셀비,14
"체크업,",2
메디보이스,6
제품을,27
통해,64
AI의료,2
사업을,41
본격,10
확대하고,5
있다.,121
올해부터는,3
군,6
이동형,3
원격의료도,3
본격화될,2
예정이다.,20
20225년부터,1
정부의,2
AI,148
디지털교과서,2
도입,16
인공지능이,2
교육,9
산업에도,1
확대되는,2
것에,3
대응해,2
영어회화,3
솔루션,25
'토킹GPT'를,2
개발,61
하는,6
인공지능을,3
여러,14
분야로,6
확대시킬,1
수,127
있는,54
준비를,1
하고,5
있다.곽민철,2
셀바스AI,14
대표는,36
"""당사의",2
성장계획을,3
신뢰하고,3
증자에,3
참여해주신,3
주주들에게,2
"감사하다""며",1
"""제시한",1
비전을,3
빠르게,20
실현해,6
차별화된,3
성장을,4
만들어,4
기업가치,6
상승과,1
주주가치,3
제고에,5
최선을,6
다할,5
"것""이라고",5
말했다.,41
[서울=뉴시스]우연수,1
기자,17
=,17
400만주를,2
모집하는,1
주주,4
배정,1
청약을,1
완료했다고,2
공시했다.,12
청약,5
대상자인,1
는,1
신주인수권증서를,1
보유한,5
"구주주였으며,",1
구주주의,1
"343만4470주였으며,",1
합계는,1
403만2159주였다.회사는,1
"""구주주",1
초과,1
후,11
발생한,1
단수주,1
1만6680주는,1
금융투자협회,1
증권,1
인수업무,1
등에,11
관한,2
규정,1
제9호2항에,1
일반,9
공모,4
청약자에게,1
배정하지,1
않고,8
대표,9
주관사가,1
"인수한다""고",1
청약률,1
100.80%AI의료·교육·메타로빌리티,1
탄력,1
◆…셀바스AI,1
CI.,1
사진=셀바스AI,1
제공,8
"인공지능,",2
음성인식,21
전문기업,18
셀바스AI(108860)는,3
22일까지,5
구주주를,2
실시한,2
달성했다고,1
발행,2
규모다.,3
오는,18
실시하지,2
12일이다.,1
의료·교육·,1
메타로빌리티,1
위해,40
유상증자를,2
결정했다.,2
신규,14
혁신,5
분야는,3
크게,7
"의료,",3
모빌리티)이다.,1
혁신까지,3
주도한다는,4
계획이다.,24
제품으로,3
의료,46
본격화한다.,1
2025년부터,2
도입에,2
교육산업에도,1
개발하는,2
확대할,10
곽민철,3
대표이사는,4
주주에게,1
"감사드린다""며",1
"""우리가",1
제시한,2
셀바스만의,1
상승,2
및,70
의료AI·교육·메타로빌리티,1
탄력셀바스AI는,1
성공했다고,1
밝혔다.지난,1
유상증자에서,1
100.80%의,1
청약률을,1
기록했다.,4
"400만주로,",1
26~27일,1
내달,2
"인공지능(AI)·교육·메타로빌리티(메타버스,",1
분야별로,1
전환과,2
계획이다.회사는,1
‘셀비,9
"체크업’,",1
메디보이스’,1
등의,5
본격화된다.,1
정부가,4
디지털교과서를,1
도입함에,1
‘토킹GPT’를,1
AI를,11
다양한,44
예정이다.곽민철,2
“회사의,1
감사드린다”며,1
“회사가,1
것”이라고,8
제이엘케이,3
솔루션에,1
연동[이데일리,1
최훈길,4
기자],24
인공지능(AI),30
셀바스AI(108860)가,5
기반,44
추진한다.,3
기업인,1
제이엘케이(322510)의,1
보험수가가,3
적용된,10
제품에,11
연동돼,3
확대한다고,2
22일,11
밝혔다.,40
앞서,7
제이엘케이는,1
‘인공지능,1
뇌졸중,9
진단,13
보조,7
솔루션’을,1
개발했다.,1
이는,6
의료진이,11
환자를,5
빠르고,6
정확하게,4
진단해,3
치료,4
계획을,7
수립하는,3
솔루션이다.,3
이,29
셀바스AI의,5
체크업(Selvy,2
Checkup)’이,1
병원,12
내,33
"예측,",3
분야에,9
적용된다.셀바스AI,1
관계자는,27
“이번,5
협업을,2
시작으로,16
관련,28
기업들과,3
의료AI,24
시장,56
고도화에,4
적극,4
나서겠다”고,1
(사진제공=셀바스AI),1
*재판매,1
DB,3
금지[서울=뉴시스]이지영,1
AI기업,2
제이엘케이의,4
연동된다고,1
밝혔다.제이엘케이가,1
개발한,13
'인공지능,3
솔루션'은,2
"솔루션으로,",2
최초로,20
비급여를,2
받은,6
제품이다.,5
질환,3
발병,2
확률,2
예측,16
'셀비,9
체크업'이,1
적용된다.병원,1
분야뿐,2
아니라,21
원격의료에도,2
활용될,6
환자의,10
"경우,",2
골든타임(4시간30분)에,1
따른,6
예후,2
차이가,6
크기,3
때문에,15
신속하게,4
응급실로,2
내원하는,2
것이,10
매우,6
중요하다.,2
골든타임,2
확보용,2
'뇌졸중,2
원스톱,2
모바일,7
리코트,2
플랫폼(SNAPPY)'은,2
중인,9
원격의료에,2
적용될,3
전격,1
연동되어,3
제이엘케이가,1
Checkup)'이,1
적용된다.,2
해당,18
융복합,1
제품은,4
골든타임(4시간,1
30분)에,1
체크업은,1
이미,16
국내,71
금융/보험사,1
마이데이터,1
사업자의,1
개인맞춤형,1
헬스케어로,1
활용되는,2
사업화,1
경험을,3
보유하고,9
있어,26
제이앨케이의,1
솔루션들과,1
시너지를,1
낼,3
것으로,68
기대하고,8
특히,14
국내는,1
물론이고,1
제이앨케이가,1
추진,3
"일본,",1
태국,1
글로벌,24
사업에도,1
확대,6
'군,1
이동,3
원격진료',1
중으로,1
올해,19
국방부,1
원격의료,4
예산을,1
확보하며,2
원격진료를,3
민간,1
원격진료,1
시장까지,1
미국,68
FDA,35
승인을,8
앞두고,3
심장진단,3
초음파기업,3
울트라사이트,3
지분도,1
취득하여,1
사업화에,1
속도를,8
내고,3
"""뇌졸중",1
첫,3
인정비급여,1
제품,33
의료기기에,1
자사의,6
'셀비체크업'이,1
적용되서,1
업계의,1
관심이,2
"뜨겁다""며",1
"""이번",12
"나서겠다""고",1
[서울=뉴시스]이지영,1
LG유플러스의,2
U+언택트스토어에,2
이어,20
고객센터에도,1
음성인식(Selvy,3
STT)과,2
음성합성(Selvy,3
TTS),3
솔루션을,13
공급했다고,2
21일,12
밝혔다.셀바스AI의,1
음성지능,5
대화형,6
AI는,11
"음성인식(STT),",3
음성합성(TTS),3
기술과,6
콜봇이,3
융합돼,2
상담사,3
역할을,4
한다.,7
고객이,3
고객센터에,3
전화를,3
걸면,3
AI콜봇은,3
AI엔진이,3
음성을,3
텍스트로,3
변환하고,2
텍스트를,3
고객의,3
문의,4
의도를,3
분석해,10
적합한,5
상담내용을,2
음성으로,7
제공하는,13
서비스다.고객들은,1
말(음성)로,2
상담사에게,3
청구요금,4
"조회,",3
납부내역,3
조회,4
등을,14
묻고,3
답변,3
받거나,3
주소,9
변경,4
업무를,4
처리할,3
어드레스(Selvy,3
Address)도,1
"적용돼,",1
인식이,3
가능하다.,6
음성합성이,3
상담원,3
목소리는,3
LG유플러스만의,2
아이덴티티를,3
담은,3
고품질,11
브랜드,6
보이스로,3
중이다.,11
인공지능,34
대형,3
이동통신사를,1
'음성지능,1
서비스',1
적용,22
확대에,2
나선다.,1
