단어,개수
기사내용,3
요약2025년부터,1
초·중·고교,1
'AI,4
디지털교과서',2
"도입셀바스AI,",1
교육부,7
디지털교과서,23
뷰어·플랫폼,2
운영,3
주관사[서울=뉴시스],1
오동현,2
기자,11
=,11
인공지능(AI),20
전문기업,11
셀바스AI가,7
정부의,5
교육혁신,6
방안에,3
발맞춰,6
사업을,20
추진한다고,3
6일,3
밝혔다.교육부는,1
지난달,4
23일,2
디지털,15
기반,25
방안의,3
일환으로,7
교육현장에,2
2025년부터,6
AI,97
디지털교과서를,4
도입한다고,3
발표했다.,3
초·중·고교에서,2
"수학,",3
"영어,",4
정보,5
교과를,2
기술을,21
탑재한,3
교과서로,4
배우게,2
된다.,2
AI를,3
활용해,8
학생들의,4
학습,20
데이터를,11
실시간으로,2
수집·분석해,1
교사들이,2
수업에,2
활용하면,2
학생,5
특성에,2
맞는,5
맞춤,2
수업이,2
가능할,3
것으로,8
보고,2
있다.현재,2
교육부의,3
뷰어,3
및,40
플랫폼,21
운영하고,4
있는,22
주관사는,3
셀바스AI다.,2
셀바스AI는,12
다년간,2
서비스,18
진행하면서,2
콘텐츠,7
제작에서부터,1
뷰어와,2
플랫폼의,2
기능,2
고도화에까지,1
이르는,1
축적하고,2
있다.,32
또한,8
이미,6
국내,13
다양한,17
교육기업들과의,1
협업을,3
통해,22
"음성인식,",7
필기인식,5
등,27
교육,22
분야에,2
연계,2
활용하고,2
있다.셀바스AI는,3
이번,14
발표에,3
개인별,4
수준에,4
콘텐츠를,4
제공하고,4
격차를,3
해소하기,3
위한,19
단계별,3
교육과정을,3
추가,4
개발해,3
역량,2
강화와,2
교수,2
학습도,2
지원할,2
예정이다.AI,1
기술,11
에듀테크,8
전문가로,1
구성된,1
셀바스AI,9
에듀테크랩은,1
2019년부터,2
산하,4
한국교육학술정보원의,1
'지능형,1
플랫폼',1
개발,17
사업자로,1
선정돼,1
분석에,2
필요한,5
‘학습,1
자원,2
"지도,",2
지식수준,2
진단,4
"모델,",3
성취도,2
예측,6
추천,3
모델’,1
등을,17
개발했다.,4
이를,7
기반으로,15
학습활동으로부터,1
수집된,2
분석하고,1
진단과,1
처방을,1
제공함으로써,1
"자기주도학습,",2
"문제해결,",2
의사소통,2
등의,4
역량을,4
강화할,2
수,48
맞춤형,5
분석,6
진행,4
중이다.자체,2
개발한,4
셀펍(Selpub)은,2
기존의,2
종이책을,1
디지털교과서로,2
손쉽게,2
전환하고,2
교수·학습용,4
콘텐츠와,2
인터랙션을,2
삽입해,2
효과적인,3
기능들을,1
활용할,3
솔루션이다.,2
손쉬운,2
저작,2
기능을,8
제공해,4
비용을,5
절감하고,2
일반인들도,2
자유롭게,2
‘나만의,1
디지털교과서’를,1
제작할,3
있게,4
지원한다.,2
주요,10
교과서,2
발행사와,2
공공기관에서,2
셀펍을,2
도입해,1
디지털교과서와,1
교재를,1
제작하고,1
실제,2
중이다.박재우,1
사업대표는,7
“셀바스AI는,2
인식,5
기술과,2
빅데이터,2
기술에,2
더해,1
기술까지,3
모두,2
보유하고,5
있어서,1
이번에,1
교육부에서,2
발표한,2
사업에,3
가장,4
부합하는,2
전문,6
기업이다.,4
전문가와,3
"개발자,",3
전문가가,3
한,9
팀을,3
이뤄,2
융합,4
서비스를,9
만들어,3
냄으로써,3
개발에,5
들어가는,3
공수는,3
줄이고,6
사용자의,5
효과는,3
극대화하는,3
결과를,8
제공하겠다”고,2
말했다.이어,2
“지난,1
3년간의,1
사업화,7
경험과,3
현장의,1
목소리를,1
반영한,1
제품도,1
준비하는,1
중심으로,2
시장을,2
선도해,1
나가겠다”고,1
말했다.,20
"교육부,",1
본격,1
도입인공지능,1
경험을,7
바탕으로,7
적극,5
밝혔다.앞서,1
교육부는,1
이로써,1
학생들은,1
교육계에선,1
인공지능을,3
"수집,",1
분석해,6
지원한다는,1
방침이다.박재우,1
Edu-Tech,1
"""교육",1
인공지능,20
이루어,1
"제공하겠다""고",1
[이데일리,9
김응태,5
기자],10
셀바스AI(108860)가,1
밝혔다.사진=셀바스AI교육부는,1
오는,4
현장에,1
현재,6
셀바스AI이다.,1
제작부터,1
고도화까지,1
제반,1
또,6
교육기업과의,1
개발할,3
예정이다.앞서,1
