단어,개수
[이데일리,9
양지윤,2
기자],9
셀바스AI(108860)는,4
지난해,22
연결기준,11
매출액이,2
"503억원,",4
영업이익은,8
50억원을,3
기록했다고,3
6일,5
공시했다.,5
전년보다,1
매출액은,15
3.5%,2
"늘었지만,",1
10.6%,2
감소했다.,1
연간,10
기준,10
역대,15
최대,22
규모다.,1
셀바스AI는,11
인공지능,20
기반,18
제품들이,1
매출을,15
견인했다고,1
설명했다.,5
회사,4
관계자는,13
“셀비,1
노트를,5
포함한,7
음성인식,7
전년,16
대비,23
"40%,",3
셀비,22
체크업,7
등,48
AI,84
헬스케어,9
50%,9
이상,7
늘었다”고,1
특히,4
"노트,",3
스피치,3
"에듀,",3
주요,14
제품들의,5
영업이익율은,2
평균,9
이상을,4
기록했다.,6
셀바스AI의,9
"음성인식,",13
"음성합성,",8
필기,4
OCR(광학식,4
문자판독장치),4
인식기술은,3
사람과,7
기기,3
간,4
효율적,3
소통을,3
위해,17
국내,27
"대기업,",3
"금융권,",4
"공공기관,",10
병원,10
다양한,18
분야에서,5
활용되고,4
있다.,38
셀바스AI,6
“인공지능,7
시장에서,4
높은,11
기술력과,3
사업성을,3
가진,3
융합,5
제품,12
수요가,4
지속적으로,10
증가하고,9
있어,14
탄탄한,4
실적을,8
기록할,4
수,67
있었다”며,3
기업,19
중,14
유일하게,8
성장세가,10
돋보이는,7
기업으로,9
실적도,8
최대로,8
전망한다”고,7
말했다.,22
실적.,1
/셀바스AI,1
제공,1
인공지능·음성인식,1
셀바스AI가,4
사상,1
달성했다고,5
밝혔다.셀바스AI에,1
따르면,9
회사는,12
매출액,11
영업이익,12
별도기준으로도,2
별도기준,5
"233억원,",4
31억원으로,3
각각,6
"20%,",3
19%,3
올랐다.셀바스AI는,1
인공지능을,5
기반으로,20
한,5
서비스가,1
매출,14
상승을,1
이끌었다는,1
입장이다.,1
서비스,2
인공지능(AI),14
상승했다.,2
이,12
밖에,1
영업이익률도,1
기록해,4
호실적을,7
견인했다.현재,1
인식,7
기술은,10
"기업,",1
곳에서,1
제품들에,1
대한,16
이용자,1
유입을,1
늘려,1
성장세를,2
이어간다는,1
계획이다.셀바스AI,2
“AI,4
지속해서,1
있었다”고,1
2022년,6
503억,1
원(YoY,3
"4%↑),",1
50억,1
원별도기준,1
233억,1
"20%↑),",1
31억,1
19%↑)AI,1
제품화를,7
통해,19
양적,2
·,8
질적,5
성장기반,1
확보[이데일리,1
김현아,2
기자]셀바스AI(108860)가,2
달성하며,1
성장을,2
이어가고,1
있다.셀바스AI는,2
503억원을,1
기록하면서,1
공시를,1
밝혔다.,20
50억원이다.별도기준으로도,1
2022년도,1
전년대비,2
성장했다.,5
성장의,2
기반을,2
견고히,1
다지면서,2
견인했다.,2
21년,1
40%,2
"성장했고,",2
이끌었다.셀바스AI의,2
여기에,1
고객,2
확대,2
집중을,1
견고한,1
이어갈,1
당사의,6
기사내용,2
요약연결기준,1
50억원별도기준,1
31억원음성인식·AI헬스케어,1
각,3
50%↑주요,1
제품들,1
영업이익률,1
"이상""AI",1
제품화,7
양적·질적,2
성장,1
"확보""[서울=뉴시스]",1
오동현,2
기자,7
=,8
인공지능(AI)·음성인식,1
달성했다.,1
매출은,3
영업이익률은,1
있다.셀바스AI,1
[헤럴드경제=증권부],2
영업이익이,1
50억124만원으로,1
감소했다고,1
공시했다.같은,1
기간,3
502억8256만원으로,1
증가한,1
것으로,13
나타났다.당기순이익은,1
76억1378만원으로,1
58.2%,1
늘어난,2
집계됐다.,2
김소연,3
셀바스AI(108860)가,2
대화,1
내용을,1
자동으로,2
기록하는,1
음성기록,8
솔루션,13
‘셀비,9
노트(Selvy,6
Note)’를,1
특허청에,1
"공급하고,",1
특별사법경찰관의,1
조사업무,2
효율,2
향상에,2
기여한다고,1
30일,3
노트는,2
수사과정에서,1
이루어지는,1
음성,6
진술을,1
텍스트,1
변환해,2
기록,2
및,24
"저장하고,",1
이를,11
데이터베이스(DB)화하는,1
조서,3
작성,5
솔루션이다.,2
특허청,1
특별사법경찰관은,1
특허·영업비밀·디자인·상표,1
침해,1
지식재산권에,1
수사,1
"시,",1
활용한다.,1
"증거수집,",1
진술조서,1
조사,1
과정에서,1
수집된,1
녹음,1
파일을,2
노트에,1
업로드해,1
조서를,1
작성할,1
있는,24
‘비,1
실시간,2
방식’뿐,1
아니라,3
말하는,1
즉시,1
화자가,1
구분돼,1
음성기록이,1
작성되는,1
‘실시간,1
방식’,1
모두를,1
지원,9
중이다.,7
사진=셀바스AIAI,1
‘그룹,1
폴더,2
업로드’,1
기능,1
업데이트를,1
비,1
조서작성,1
시,4
특별사업경찰관의,1
업무,4
편의성이,1
높아진다.,1
기존,3
버전은,1
개별,1
파일,2
하나하나를,1
5개까지만,1
업로드,2
"가능했지만,",1
개수와,1
상관없이,2
그룹,1
폴더를,1
번에,2
올릴,1
여러,1
개의,1
문서로,1
편리하게,1
변환시킬,1
윤재선,1
Lab장은,1
“그룹,1
기능을,4
비롯해,1
앞으로도,3
니즈를,2
듣고,1
필요한,3
꾸준히,1
강화하겠다”며,1
“특허청,1
특별사법경찰관에,1
적용을,7
시작으로,3
타,1
기관의,2
특별사법경찰관에도,1
공급을,1
확대해,1
증대에,1
기여하고,1
공공기관,2
점유율,1
1위,2
목표를,2
달성할,1
있도록,15
하겠다”고,2
분야로,1
적용되고,1
현재,7
"1,",1
2급지,1
경찰서,1
17개,1
시도,1
경찰청뿐,1
성폭력,1
아동학대,2
피해자를,1
지원하는,2
해바라기센터에서,1
‘성폭력,1
피해,1
시스템’으로도,1
사용,4
전국,1
지자체에서는,1
현장,2
조사용으로,1
사용되고,1
"있으며,",2
변호사와,1
의뢰인,1
조사에서도,1
활용된다.,1
오픈,1
‘챗GPT’가,3
선풍적,3
인기를,3
끌면서,3
국내에서도,1
관련주,3
주가가,3
25일,6
급등세다.이날,1
마켓포인트에,2
오전,2
9시14분,1
전,8
거래일,4
15.46%,1
오른,7
1만3740원에,1
거래,2
그,1
외,2
솔트룩스(304100)가,1
11.09%,1
2만7050원에,1
거래되고,5
오픈엔지테크놀로지도,1
9.18%,1
오른1만3310원에,1
코난테크놀로지(402030)는,1
22.46%,1
6만2700원에,1
최근,2
마이크로소프트(MS)가,4
챗봇,4
‘챗GPT’,1
개발사인,1
오픈AI(OpenAI)에,1
새로운,7
투자,3
