단어,개수
AI,108
대화형,19
"서비스,",8
오피스,17
내,18
음성,10
인식,10
"회의록,",1
개인,10
맞춤형,10
헬스케어,10
서비스,27
등,85
기획컴투버스,1
이경일,8
"대표(좌),",2
셀바스AI,22
곽민철,10
대표(우),1
[사진,1
컴투스][이코노미스트,1
원태영,1
기자]컴투스는,1
메타버스,68
전문,12
기업,32
컴투버스가,9
셀바스AI와,16
관련,30
기술,31
및,61
사업,39
협력을,21
협약했다고,4
18일,12
밝혔다.셀바스AI는,4
"음성인식,",10
"음성합성,",4
"필기인식,",3
"광학문자인식,",4
자연어,4
처리,4
최고,3
수준의,2
HCI(Human,3
Computer,3
Interaction),3
기술을,25
기반으로,22
한,14
인공지능,32
"기업으로,",2
"교육,",12
"의료,",12
"금융,",4
"문화,",3
엔터테인먼트,3
다양한,29
분야와의,3
통해,42
융합,13
솔루션을,11
제공하고,4
있다.더,1
나아가,2
최근에는,1
25년간,1
축적한,1
노하우와,1
데이터를,11
"기반으로,",2
"메타버스,",3
"헬스케어,",2
"에듀테크,",2
"모빌리티,",3
로봇,2
미래,8
산업,8
융합을,5
모색하며,1
디지털,20
혁신을,3
이끌어내고,1
있다.컴투버스는,1
이번,27
협약을,11
바탕으로,5
함께,7
인프라스트럭처로,4
설계되는,4
컴투버스를,4
"위해,",1
개발에,9
대한,13
전략적,11
추진할,6
계획이다.,18
또한,6
2분기,9
첫,8
선을,3
보이는,5
컴투버스의,3
경쟁력을,6
더욱,8
강화하기,4
위한,21
솔루션,25
구축을,5
위해,25
힘을,7
모은다.먼저,1
양사는,5
음성합성,5
기술과,13
"더불어,",2
기록,10
서비스인,4
‘셀비,6
"노트’,",3
병원∙검진센터∙피트니스센터,1
등에서,5
사용되는,4
질병,5
발병,5
확률,5
예측,8
체크업’,3
셀바스AI가,11
보유한,9
기존,16
솔루션의,2
컴투버스,20
접목을,2
협의할,3
계획이다.AI,2
서비스는,6
"물론,",4
활용한,6
회의록,7
작성,7
"오피스,",4
"메디컬,",3
커머스,4
등에,4
적용,5
가능한,9
융복합,3
기술의,3
도입도,3
가능해진다.,2
아울러,3
셀바스AI의,3
HCI,3
노하우를,3
컴투버스와의,1
신규,6
사업과,1
컴투스,6
그룹의,1
콘텐츠,6
밸류체인과의,1
여러,10
협업,2
기회도,1
창출할,7
예정이다.곽민철,1
셀바스,5
대표는,36
“음성,2
지능을,3
중심으로,6
분야에,5
집중하고,5
있으며,5
신사업도,5
속도를,7
내고,5
있다”며,8
“컴투버스와,4
긴밀히,6
협력해,6
사업을,21
"추진하고,",3
향후,11
생태계를,6
구성하는,6
파트너사와도,6
협력,7
기회를,6
것으로,36
기대한다”고,4
전했다.이경일,1
“컴투버스는,3
올해,27
서비스를,9
시작으로,11
본격적인,3
상용화에,5
돌입할,2
"예정이며,",1
셀바스AI와의,4
협업으로,6
기능성과,4
활용성이,4
초고도화된,4
오피스의,4
경험을,9
제공할,10
확신한다”라며,2
“앞으로도,5
전,19
분야,14
유력,5
기업들과,9
파트너십으로,4
강력한,4
얼라이언스를,4
구축해,5
나갈,6
것”이라고,10
밝혔다.,14
대표(왼쪽)과,1
대표(오른쪽)[컴투스,1
제공],1
(서울=연합뉴스),2
홍국기,1
기자,16
=,17
게임,2
회사,5
컴투스는,2
계열사인,3
인공지능(AI),22
기술·사업,1
체결했다고,12
셀바스AI는,13
분야에서,10
해법을,1
제공하는,11
"회사로,",1
분야와,2
융합도,1
모색한다.,1
협약에,1
따라,13
컴투버스는,4
접목,1
방안을,3
또,13
첫선을,2
서비스의,2
모으기로,1
했다.,6
redflag@yna.co.kr,1
대표와,2
대표(사진,1
왼쪽부터)가,1
사업협약,1
후,9
기념,1
사진을,3
찍고,1
있다.,51
제공,2
[파이낸셜뉴스],1
컴투스의,3
메타버스(3차원,1
가상세계),1
전문기업,6
맺었다.,2
HCI(인간과,1
컴퓨터의,1
상호작용),1
전문기업이다.,1
업계에,1
따르면,12
올,6
2·4분기,1
플랫폼,23
'컴투버스'의,1
모은다.,2
음성인식과,2
'셀비,4
"노트',",1
체크업',1
컴투버스와,5
접목한다.,2
"""음성",1
"있다""며",3
"""컴투버스와",2
"것""이라고",3
전했다.,3
"""이번",4
"확신한다""며",1
"""앞으로도",2
말했다.,23
#컴투스,1
#메타버스,1
#셀바스AI,1
AI대화형,1
도입,2
추진음성기록,1
활용,5
회의록도,1
구축이경일(왼쪽),1
대표가,2
골자로,3
하는,10
업무,6
체결한,2
뒤,1
기념사진을,1
촬영하고,1
사진제공=컴투버스[서울경제],1
컴투스(078340)의,1
자회사,3
전문업체인,1
셀바스AI(108860)와,1
밝혔다.양사는,1
계기로,6
추진한다.,2
출시,3
예정인,2
구축에도,1
내에서,1
서비스와,1
서비스가,8
활용될,3
예정이다.,4
병원?검진센터?피트니스센터,2
서비스도,3
메타버스에,1
접목될,1
전망이다.,3
계열사의,1
가치사슬과,1
협업을,3
예정이다.이경일,1
"예정""이라며",1
확신한다”고,1
말햇다.,1
이,17
밝혔다.곽민철,2
대표(우)메타버스,1
컴투버스(대표,1
이경일)는,1
셀바스AI(대표,1
곽민철)와,1
기업이다.컴투버스는,1
계획이다.또한,1
모은다.양사는,1
병원·검진센터·피트니스센터,1
필기,1
"인식,",1
기업이다.,4
있다.양사는,1
모은다.컴투스는,1
"[사진출처=컴투스]음성인식,",1
더불어,4
컴투버스에,1
물론,3
가능해진다.곽민철,1
추진하고,3
말했다.이경일,1
“이번,4
강조했다.,2
기사내용,9
요약메타버스,1
업무협약셀비노트·메타버스,1
병원·검진센터,1
AI헬스케어,1
(왼쪽부터),1
"대표,",2
대표(사진=셀바스,1
제공),1
*재판매,1
DB,3
금지【서울=뉴시스】송혜리,1
업무협약(MOU)을,1
모델을,2
발굴할,2
특히,5
음성합성을,2
통한,14
서비스뿐,5
아니라,21
